atr_sl_mult,atr_tp_mult,max_spread_pips,min_body_ratio,tick_consistency,max_positions,profit_target_usd,trades,net_pnl,win_rate,sharpe,max_dd,avg_pnl,rejected
0.5,1.5,2.0,0.35,0.55,1,0.1,2034,4162.131,46.0,5.2779,325.2779,2.0463,0
0.5,1.5,2.0,0.35,0.55,1,0.2,2034,4162.131,46.0,5.2779,325.2779,2.0463,0
0.5,1.5,2.0,0.35,0.55,1,0.5,2034,4162.131,46.0,5.2779,325.2779,2.0463,0
0.5,1.5,2.0,0.35,0.55,2,0.1,2567,4329.0184,45.0,4.9778,526.4744,1.6864,0
0.5,1.5,2.0,0.35,0.55,2,0.2,2567,4329.0184,45.0,4.9778,526.4744,1.6864,0
0.5,1.5,2.0,0.35,0.55,2,0.5,2567,4329.0184,45.0,4.9778,526.4744,1.6864,0
0.5,1.5,2.0,0.35,0.55,3,0.1,3027,4755.3976,44.6,5.0786,723.5406,1.571,0
0.5,1.5,2.0,0.35,0.55,3,0.2,3027,4755.3976,44.6,5.0786,723.5406,1.571,0
0.5,1.5,2.0,0.35,0.55,3,0.5,3027,4755.3976,44.6,5.0786,723.5406,1.571,0
0.5,1.5,2.0,0.35,0.6,1,0.1,1314,2776.7646,45.7,4.3669,498.5143,2.1132,0
0.5,1.5,2.0,0.35,0.6,1,0.2,1314,2776.7646,45.7,4.3669,498.5143,2.1132,0
0.5,1.5,2.0,0.35,0.6,1,0.5,1314,2776.7646,45.7,4.3669,498.5143,2.1132,0
0.5,1.5,2.0,0.35,0.6,2,0.1,1666,2746.5302,44.3,3.9105,741.7668,1.6486,0
0.5,1.5,2.0,0.35,0.6,2,0.2,1666,2746.5302,44.3,3.9105,741.7668,1.6486,0
0.5,1.5,2.0,0.35,0.6,2,0.5,1666,2746.5302,44.3,3.9105,741.7668,1.6486,0
0.5,1.5,2.0,0.35,0.6,3,0.1,1968,3013.9814,43.8,3.9785,925.1399,1.5315,0
0.5,1.5,2.0,0.35,0.6,3,0.2,1968,3013.9814,43.8,3.9785,925.1399,1.5315,0
0.5,1.5,2.0,0.35,0.6,3,0.5,1968,3013.9814,43.8,3.9785,925.1399,1.5315,0
0.5,1.5,2.0,0.35,0.7,1,0.1,504,934.4911,43.3,2.3174,429.8,1.8541,0
0.5,1.5,2.0,0.35,0.7,1,0.2,504,934.4911,43.3,2.3174,429.8,1.8541,0
0.5,1.5,2.0,0.35,0.7,1,0.5,504,934.4911,43.3,2.3174,429.8,1.8541,0
0.5,1.5,2.0,0.35,0.7,2,0.1,629,914.0302,41.8,2.0488,604.6828,1.4531,0
0.5,1.5,2.0,0.35,0.7,2,0.2,629,914.0302,41.8,2.0488,604.6828,1.4531,0
0.5,1.5,2.0,0.35,0.7,2,0.5,629,914.0302,41.8,2.0488,604.6828,1.4531,0
0.5,1.5,2.0,0.35,0.7,3,0.1,740,1027.1809,41.1,2.1308,789.9574,1.3881,0
0.5,1.5,2.0,0.35,0.7,3,0.2,740,1027.1809,41.1,2.1308,789.9574,1.3881,0
0.5,1.5,2.0,0.35,0.7,3,0.5,740,1027.1809,41.1,2.1308,789.9574,1.3881,0
0.5,1.5,2.0,0.5,0.55,1,0.1,1906,3901.6273,45.3,5.0754,294.2418,2.047,0
0.5,1.5,2.0,0.5,0.55,1,0.2,1906,3901.6273,45.3,5.0754,294.2418,2.047,0
0.5,1.5,2.0,0.5,0.55,1,0.5,1906,3901.6273,45.3,5.0754,294.2418,2.047,0
0.5,1.5,2.0,0.5,0.55,2,0.1,2428,4084.0924,44.4,4.8014,473.9004,1.6821,0
0.5,1.5,2.0,0.5,0.55,2,0.2,2428,4084.0924,44.4,4.8014,473.9004,1.6821,0
0.5,1.5,2.0,0.5,0.55,2,0.5,2428,4084.0924,44.4,4.8014,473.9004,1.6821,0
0.5,1.5,2.0,0.5,0.55,3,0.1,2888,4510.4716,44.0,4.9098,738.646,1.5618,0
0.5,1.5,2.0,0.5,0.55,3,0.2,2888,4510.4716,44.0,4.9098,738.646,1.5618,0
0.5,1.5,2.0,0.5,0.55,3,0.5,2888,4510.4716,44.0,4.9098,738.646,1.5618,0
0.5,1.5,2.0,0.5,0.6,1,0.1,1239,2707.9085,45.0,4.3387,508.2914,2.1856,0
0.5,1.5,2.0,0.5,0.6,1,0.2,1239,2707.9085,45.0,4.3387,508.2914,2.1856,0
0.5,1.5,2.0,0.5,0.6,1,0.5,1239,2707.9085,45.0,4.3387,508.2914,2.1856,0
0.5,1.5,2.0,0.5,0.6,2,0.1,1585,2712.8655,43.8,3.9267,751.5439,1.7116,0
0.5,1.5,2.0,0.5,0.6,2,0.2,1585,2712.8655,43.8,3.9267,751.5439,1.7116,0
0.5,1.5,2.0,0.5,0.6,2,0.5,1585,2712.8655,43.8,3.9267,751.5439,1.7116,0
0.5,1.5,2.0,0.5,0.6,3,0.1,1887,2980.3166,43.3,3.9899,934.917,1.5794,0
0.5,1.5,2.0,0.5,0.6,3,0.2,1887,2980.3166,43.3,3.9899,934.917,1.5794,0
0.5,1.5,2.0,0.5,0.6,3,0.5,1887,2980.3166,43.3,3.9899,934.917,1.5794,0
0.5,1.5,2.0,0.5,0.7,1,0.1,482,937.1445,42.9,2.3542,416.5283,1.9443,0
0.5,1.5,2.0,0.5,0.7,1,0.2,482,937.1445,42.9,2.3542,416.5283,1.9443,0
0.5,1.5,2.0,0.5,0.7,1,0.5,482,937.1445,42.9,2.3542,416.5283,1.9443,0
0.5,1.5,2.0,0.5,0.7,2,0.1,606,936.4143,41.6,2.1234,642.1039,1.5452,0
0.5,1.5,2.0,0.5,0.7,2,0.2,606,936.4143,41.6,2.1234,642.1039,1.5452,0
0.5,1.5,2.0,0.5,0.7,2,0.5,606,936.4143,41.6,2.1234,642.1039,1.5452,0
0.5,1.5,2.0,0.5,0.7,3,0.1,717,1049.5651,40.9,2.199,827.3785,1.4638,0
0.5,1.5,2.0,0.5,0.7,3,0.2,717,1049.5651,40.9,2.199,827.3785,1.4638,0
0.5,1.5,2.0,0.5,0.7,3,0.5,717,1049.5651,40.9,2.199,827.3785,1.4638,0
0.5,1.5,2.0,0.65,0.55,1,0.1,1716,3239.8034,44.4,4.4129,264.046,1.888,0
0.5,1.5,2.0,0.65,0.55,1,0.2,1716,3239.8034,44.4,4.4129,264.046,1.888,0
0.5,1.5,2.0,0.65,0.55,1,0.5,1716,3239.8034,44.4,4.4129,264.046,1.888,0
0.5,1.5,2.0,0.65,0.55,2,0.1,2230,3432.0373,43.6,4.1944,540.7373,1.539,0
0.5,1.5,2.0,0.65,0.55,2,0.2,2230,3432.0373,43.6,4.1944,540.7373,1.539,0
0.5,1.5,2.0,0.65,0.55,2,0.5,2230,3432.0373,43.6,4.1944,540.7373,1.539,0
0.5,1.5,2.0,0.65,0.55,3,0.1,2690,3858.4165,43.4,4.3414,824.23,1.4344,0
0.5,1.5,2.0,0.65,0.55,3,0.2,2690,3858.4165,43.4,4.3414,824.23,1.4344,0
0.5,1.5,2.0,0.65,0.55,3,0.5,2690,3858.4165,43.4,4.3414,824.23,1.4344,0
0.5,1.5,2.0,0.65,0.6,1,0.1,1117,2363.0587,44.5,3.9646,433.0965,2.1155,0
0.5,1.5,2.0,0.65,0.6,1,0.2,1117,2363.0587,44.5,3.9646,433.0965,2.1155,0
0.5,1.5,2.0,0.65,0.6,1,0.5,1117,2363.0587,44.5,3.9646,433.0965,2.1155,0
0.5,1.5,2.0,0.65,0.6,2,0.1,1460,2396.2466,43.4,3.6021,662.6728,1.6413,0
0.5,1.5,2.0,0.65,0.6,2,0.2,1460,2396.2466,43.4,3.6021,662.6728,1.6413,0
0.5,1.5,2.0,0.65,0.6,2,0.5,1460,2396.2466,43.4,3.6021,662.6728,1.6413,0
0.5,1.5,2.0,0.65,0.6,3,0.1,1762,2663.6978,43.0,3.6828,842.5691,1.5117,0
0.5,1.5,2.0,0.65,0.6,3,0.2,1762,2663.6978,43.0,3.6828,842.5691,1.5117,0
0.5,1.5,2.0,0.65,0.6,3,0.5,1762,2663.6978,43.0,3.6828,842.5691,1.5117,0
0.5,1.5,2.0,0.65,0.7,1,0.1,449,712.1441,41.6,1.8645,392.953,1.5861,0
0.5,1.5,2.0,0.65,0.7,1,0.2,449,712.1441,41.6,1.8645,392.953,1.5861,0
0.5,1.5,2.0,0.65,0.7,1,0.5,449,712.1441,41.6,1.8645,392.953,1.5861,0
0.5,1.5,2.0,0.65,0.7,2,0.1,573,711.4139,40.5,1.6687,657.6824,1.2416,0
0.5,1.5,2.0,0.65,0.7,2,0.2,573,711.4139,40.5,1.6687,657.6824,1.2416,0
0.5,1.5,2.0,0.65,0.7,2,0.5,573,711.4139,40.5,1.6687,657.6824,1.2416,0
0.5,1.5,2.0,0.65,0.7,3,0.1,684,824.5647,39.9,1.778,842.9569,1.2055,0
0.5,1.5,2.0,0.65,0.7,3,0.2,684,824.5647,39.9,1.778,842.9569,1.2055,0
0.5,1.5,2.0,0.65,0.7,3,0.5,684,824.5647,39.9,1.778,842.9569,1.2055,0
0.5,1.5,3.5,0.35,0.55,1,0.1,2034,4162.131,46.0,5.2779,325.2779,2.0463,0
0.5,1.5,3.5,0.35,0.55,1,0.2,2034,4162.131,46.0,5.2779,325.2779,2.0463,0
0.5,1.5,3.5,0.35,0.55,1,0.5,2034,4162.131,46.0,5.2779,325.2779,2.0463,0
0.5,1.5,3.5,0.35,0.55,2,0.1,2567,4329.0184,45.0,4.9778,526.4744,1.6864,0
0.5,1.5,3.5,0.35,0.55,2,0.2,2567,4329.0184,45.0,4.9778,526.4744,1.6864,0
0.5,1.5,3.5,0.35,0.55,2,0.5,2567,4329.0184,45.0,4.9778,526.4744,1.6864,0
0.5,1.5,3.5,0.35,0.55,3,0.1,3027,4755.3976,44.6,5.0786,723.5406,1.571,0
0.5,1.5,3.5,0.35,0.55,3,0.2,3027,4755.3976,44.6,5.0786,723.5406,1.571,0
0.5,1.5,3.5,0.35,0.55,3,0.5,3027,4755.3976,44.6,5.0786,723.5406,1.571,0
0.5,1.5,3.5,0.35,0.6,1,0.1,1314,2776.7646,45.7,4.3669,498.5143,2.1132,0
0.5,1.5,3.5,0.35,0.6,1,0.2,1314,2776.7646,45.7,4.3669,498.5143,2.1132,0
0.5,1.5,3.5,0.35,0.6,1,0.5,1314,2776.7646,45.7,4.3669,498.5143,2.1132,0
0.5,1.5,3.5,0.35,0.6,2,0.1,1666,2746.5302,44.3,3.9105,741.7668,1.6486,0
0.5,1.5,3.5,0.35,0.6,2,0.2,1666,2746.5302,44.3,3.9105,741.7668,1.6486,0
0.5,1.5,3.5,0.35,0.6,2,0.5,1666,2746.5302,44.3,3.9105,741.7668,1.6486,0
0.5,1.5,3.5,0.35,0.6,3,0.1,1968,3013.9814,43.8,3.9785,925.1399,1.5315,0
0.5,1.5,3.5,0.35,0.6,3,0.2,1968,3013.9814,43.8,3.9785,925.1399,1.5315,0
0.5,1.5,3.5,0.35,0.6,3,0.5,1968,3013.9814,43.8,3.9785,925.1399,1.5315,0
0.5,1.5,3.5,0.35,0.7,1,0.1,504,934.4911,43.3,2.3174,429.8,1.8541,0
0.5,1.5,3.5,0.35,0.7,1,0.2,504,934.4911,43.3,2.3174,429.8,1.8541,0
0.5,1.5,3.5,0.35,0.7,1,0.5,504,934.4911,43.3,2.3174,429.8,1.8541,0
0.5,1.5,3.5,0.35,0.7,2,0.1,629,914.0302,41.8,2.0488,604.6828,1.4531,0
0.5,1.5,3.5,0.35,0.7,2,0.2,629,914.0302,41.8,2.0488,604.6828,1.4531,0
0.5,1.5,3.5,0.35,0.7,2,0.5,629,914.0302,41.8,2.0488,604.6828,1.4531,0
0.5,1.5,3.5,0.35,0.7,3,0.1,740,1027.1809,41.1,2.1308,789.9574,1.3881,0
